ID  объявления,Количество комнат,Тип,Метро,Адрес,"Площадь, м2",Дом,Парковка,Цена,Телефоны,Описание,Ремонт,"Площадь комнат, м2",Балкон,Окна,Санузел,Можно с детьми/животными,Дополнительно,Название ЖК,Серия дома,"Высота потолков, м",Лифт,Мусоропровод,Ссылка на объявление
317854751,"2, Смежная",Квартира,м. Верхние котлы (4 мин пешком),"Москва, Варшавское шоссе, 18К3",45.0,"4/8, Кирпичный",наземная,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79153879937,"Сдается на длительное время, рассмотрим приличных и платежеспособных граждан, залог разбивается, 9 фото",Евроремонт,,Балкон (1),,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Холодильник, Интернет",,,2.64,Пасс (1),Да,https://www.cian.ru/rent/flat/317854751
317755734,"2, Изолированная",Квартира,м. Автозаводская (16 мин пешком),"Москва, улица Симоновский Вал, 22К2",47.0/30.0/7.0,6/8,наземная,"69000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79850420197,"Сдается в аренду отличный вариант!
Уютная квартира с прекрасным ремонтом, где царит атмосфера умиротворения.
Просторная кухня с современным кухонным гарнитуром.
Все необходимое для комфортной жизни.
Вдохновляющий вид из окна, который заряжает позитивом.

Ваши преимущества:
Тихий двор, развитая инфраструктура, шаговая доступность, удобная планировка, близость к парку, магазинам, метро.

Хотите узнать больше?
Звоните нам!, 17 фото",Косметический,,Балкон (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет, Телефон",,,,"Пасс (1), Груз (1)",Да,https://www.cian.ru/rent/flat/317755734
317089684,"2, Изолированная",Квартира,м. Каширская (15 мин пешком),"Москва, Каширское шоссе, 40",37.0/8.0,"1/9, Кирпичный",наземная,"55000.0 руб./ За месяц, Залог - 55000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79390179127,"Сдается уютная двухкомнатная квартира  гражданам РФ. Квартира после  косметического  ремонта,  на 1 этаже кирпичного дома. Комнаты смежные. Теплпя, уютная. В квартире есть все необходимое для проживания.. Общая площадь квартиры составляет 37 кв. м, с жилой зоной 25 кв. м и кухней 8 кв. м.

Комиссия агенту 40%., 9 фото",Косметический,,,Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,,,Пасс (1),Да,https://www.cian.ru/rent/flat/317089684
317133577,"2, Оба варианта",Квартира,м. Каширская (3 мин пешком),"Москва, Каширское шоссе, 32К3",52.0/37.0/8.0,"14/14, Кирпичный",наземная,"70000.0 руб./ За месяц, Залог - 40000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79153026384,"Под авансом до 05.06.2025.г.Перед сдачей квартиры делается генеральная уборка.Все вопросы по телефону.Смотрите ФОТО., 15 фото",Евроремонт,,Лоджия (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,,Пасс (2),Да,https://www.cian.ru/rent/flat/317133577
306749522,2,Квартира,м. Автозаводская (16 мин пешком),"Москва, улица Симоновский Вал, 22К2",43.0/28.0/6.0,"6/8, Кирпичный",наземная,"70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79169367264,"Евгений. Вашему вниманию предлагается двухкомнатная квартира.Комнаты смежные, санузел раздельный. Полностью меблирована и оснащена всей бытовой техникой для комфортного проживания. Звоните, отвечу на все вопросы по телефону и организую оперативный показ., 10 фото",Евроремонт,,Балкон (1),,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,2.7,Пасс (1),Да,https://www.cian.ru/rent/flat/306749522
317552863,"2, Оба варианта",Квартира,м. Автозаводская (16 мин пешком),"Москва, улица Симоновский Вал, 22К2",43.0/30.0/6.0,"6/8, Кирпичный",наземная,"70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79162650441,"Сдаётся уютная двухкомнатная квартира в Москве по адресу: улица Симоновский Вал, 22к2. Общая площадь — 43 кв. м, жилая — 30 кв. м. Квартира расположена на 6-м этаже 8-этажного кирпичного дома, построенного в 1960 году. Высота потолков составляет 2.7 метра, а окна выходят во двор, что обеспечивает тишину и спокойствие. До станции метро ""Автозаводская"" всего 16 минут пешком.

В квартире сделан качественный евроремонт. Комнаты меблированы, на кухне и в комнате есть вся необходимая мебель. Из бытовой техники в вашем распоряжении: кондиционер, холодильник, телевизор и стиральная машина. Санузел раздельный, в ванной комнате установлена ванна. На кухне площадью 6 кв. м приятно готовить, а балкон позволяет наслаждаться свежим воздухом. В квартире проведён интернет, поэтому можно не беспокоиться о связи.

Дом оснащён пассажирским лифтом и мусоропроводом. Наземная парковка доступна для жильцов, поэтому можно легко найти место для автомобиля. Дом в хорошем состоянии, что делает его комфортным для ..., 15 фото",Евроремонт,,Балкон (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,2.7,Пасс (1),Да,https://www.cian.ru/rent/flat/317552863
317866755,"2, Изолированная",Квартира,м. Покровское (24 мин пешком),"Москва, 6-я Радиальная улица, 5к4",67.0/31.0/12.0,"2/17, Кирпичный",наземная,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес","+79164777542, +79150326066","Просторная 2ух. комнатная квартира в современном ЖК ""Царицыно""! 
В квартире качественный ремонт, изолированные комнаты, два сан. узла, две гардеробные комнаты, новая мебель (спальня, гостинная), кухонный гарнитур, холодильник, стиральная машинка автомат, установлено два кондиционера, лоджия застеклена., 16 фото",Евроремонт,,Лоджия (1),Во двор,Совмещенный (2),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Холодильник, Интернет","Царицыно, 2013",,2.8,"Пасс (1), Груз (1)",Нет,https://www.cian.ru/rent/flat/317866755
317494549,"2, Изолированная",Квартира,м. Крымская (6 мин пешком),"Москва, Загородное шоссе, 6К1",50.0/30.0/7.0,"3/9, Кирпичный",,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес","+79230755264, +79160675896","Лот  73560 Сдается на длительный срок современная, комфортабельная, двухкомнатная квартира! Качественный ремонт, комнаты изолированы, балкон застеклен, вид из окон во двор. Установлены стеклопакеты, новая сантехника, кондиционер. Качественная мебель и бытовая техника в наличии. С парковкой проблем нет. Квартира находится в экологически благополучном зеленом районе, рядом с большим благоустроенным парком с прудом ""Бекет"". Хорошо развита инфраструктура, все необходимое рядом с домом, квартира удобно расположена от станций метро  Крымская, Академическая, Профсоюзная, Шаболовская, Нагатинская, Тульская. Состав жильцов обсуждается, без детей, без домашних животных., 19 фото",Евроремонт,19-11,Балкон (1),Во двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет, Телефон",,,,Пасс (1),,https://www.cian.ru/rent/flat/317494549
316958224,"3, Оба варианта",Квартира,м. Тульская (15 мин пешком),"Москва, 4-й Рощинский проезд, 8К2",53.0/5.0,2/5,наземная,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - На несколько месяцев, Предоплата 1 мес",+79161540339,"Сдается квартира евродвушка у метро Тульская на короткий срок, квартира выставлена на продажу.
Квартира в 10 минутах пешком от метро Тульская, 4-й Рощинский проезд, дом 8к2, 2/5 этаж кирпичного дома. Небольшая уютная квартира с Евроремонтом, общая площадь - 53 кв.м.,  уютная проходная гостиная с кухонной зоной - 5 кв.м. и выходом на застекленный большой балкон, изолированные детская и спальня. Большой совмещенный санузел (ванна джакузи, подогрев пола). Квартира без мебели (мебель не ставят). Рассмотрим арендаторов с минимум мебели (чтобы не загромождать квартиру). Арендатор обязан будет показывать квартиру потенциальным покупателям в оговоренные дни и время. Закрытая парковка у дома, где всегда есть место для Вашего автомобиля. Цена 75 000 руб. + вода и свет по счетчику. Комиссия агентства 50%., 23 фото",Евроремонт,,Балкон (1),Во двор,,Можно с детьми,"Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,,,,https://www.cian.ru/rent/flat/316958224
317387485,"2, Оба варианта",Квартира,м. Автозаводская (12 мин пешком),"Москва, Восточная улица, 2К2",46.0,"7/8, Кирпичный",наземная,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79153047486,"В аренду на длительный срок сдается чудесная, солнечная квартира! В квартире изолированная спальня с гардеробной комнатой, большая кухня-гостиная, есть огромный встроенный шкаф, лоджия, санузел. Закрыты двор, въезд под шлагбаум. 

Прекрасное расположение, в пешей доступности 3 станции метро, набережная, спорткомплекс имени Э.А. Стрельцова, основные сетевые продуктовые магазины. 

Квартира готова к заселению, для записи на просмотр, пожалуйста, звоните!), 16 фото",Дизайнерский,,Лоджия (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,2.65,Пасс (1),Да,https://www.cian.ru/rent/flat/317387485
