ID  объявления,Количество комнат,Тип,Метро,Адрес,"Площадь, м2",Дом,Парковка,Цена,Телефоны,Описание,Ремонт,"Площадь комнат, м2",Балкон,Окна,Санузел,Можно с детьми/животными,Дополнительно,Название ЖК,Серия дома,"Высота потолков, м",Лифт,Мусоропровод,Ссылка на объявление
317114299,"2, Изолированная",Квартира,м. Академическая (13 мин пешком),"Москва, Новочеремушкинская улица, 1/14к3",43.0/27.0/6.0,5/5,наземная,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79341107104,"Предлагается в аренду отличная 2-х комнатная квартира, общей площадью 43 кв м., комнаты  изолированные 14-13 кв м., кухня 6 кв м. Выполнен качественный ремонт: стеклопакеты, полы паркет и плитка с подогревом. Квартира полностью меблирована, встроенная кухня, бытовая техника, шкафы-купе с зеркалами, 2 раскладных дивана. Балкон. Зеленый двор. Видеонаблюдение. 5 этаж/ 5-ти этажного кирпичного дома (без лифта), в пешей доступности от метро Академическая. 
Предложение для некурящих арендаторов без животных., 27 фото",Евроремонт,,Балкон (1),На улицу,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,,,,https://www.cian.ru/rent/flat/317114299
316898354,"3, Оба варианта",Квартира,м. Академическая (10 мин пешком),"Москва, улица Шверника, 1К3",65.0/45.0/10.0,3/4,наземная,"85000.0 руб./ За месяц, Залог - 85000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79315548539,"Cдaётcя ТРEXКОМНАTНAЯ малoгабаpитнaя квapтиpa в 15 минутax oт пaрка горькoго, MГУ и воробьевыx гop. Хopоший ремoнт. 
Две изoлиpовaнные нeбольшие уютныe cпальни. Общaя гoстиная. Санузeл раздельный. Heт прoблeм с пapковкoй.
 B квaртиpе не куpили. 
Оплата по cчeтчикам: электричество, вода, отопление, интернет, мусор. Депозит
 1 месяц аренды.

 С животными нельзя.
-----
Примечание: у собственника могут быть дополнительные пожелания к жильцам - обсудите их в чате или по телефону, 9 фото",Евроремонт,,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет, Телефон",,,,"Пасс (1), Груз (1)",Да,https://www.cian.ru/rent/flat/316898354
317852220,"2, Изолированная",Квартира,м. Университет (15 мин пешком),"Москва, Ленинский проспект, 73/8",63.0/36.5/9.5,"5/8, Кирпичный",наземная,"90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79164769294,"Просторная, светлая и уютная 2-х комнатная квартира площадью 63 м2 со всем необходимым для комфортного проживания.
Вся инфраструктура в шаговой доступности: 2 станции метро, садики, школы, МГУ, Губкина, Воробьевы горы, Дарвиновский музей, Дворец Пионеров, магазины на любой вкус, знаменитый Черемушкинский рынок с фудкортом и фермерскими продуктами.
Чистый, отремонтированный подъезд. Паркинг во дворе и на дублерах Ленинского и Ломоносовского.
Во всех окнах установлены финские двойные деревянные рамы со стеклопакетами - Ленинского не слышно вообще. Потолки - 3м. Окна спальни выходят в большой зеленый двор с детской площадкой.
В гостиной: раскладной диван; в спальне: 2 отдельных кровати. 10-метровая прихожая с вместительным встроенным шкафом. Раздельный санузел. Отдельная бытовая комната/гардеробная со стиральной машиной.
Установлен накопительный бойлер. В гостиной установлен кондиционер. При желании мебель в спальне можете заменить по своему усмотрению - всё обсуждаемо. Сдается на длитель ..., 21 фото",Евроремонт,,,На улицу и двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Холодильник, Интернет",,,3.0,Пасс (1),Да,https://www.cian.ru/rent/flat/317852220
316986459,"2, Изолированная",Квартира,м. Ленинский проспект (10 мин пешком),"Москва, Ленинский проспект, 34/1",48.0,4/9,наземная,"90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79813688401,"Квартира с дорогим евроремонтом, гостиная-студия и изолированная спальня, дом кирпичный, СТП, застеклённый балкон, окна на две стороны, полы - паркет и керамогранит с подогревом, гардеробная, сейф, кондиционеры, две плазмы-3D, техника ""Bosch"", посудомоечная маш., встроенная кухня с барной стойкой. Двор огорожен, чип от ворот прилагается.  В пешей доступности: Воробьевы Горы, Нескучный Сад, пешеходные набережные., 18 фото",Дизайнерский,,Балкон (1),На улицу и двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,,Пасс (1),,https://www.cian.ru/rent/flat/316986459
285564364,"2, Оба варианта",Квартира,м. Новаторская (13 мин пешком),"Москва, Ленинский проспект, 87",44.0,"2/8, Кирпичный",наземная,"90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79852927373,"Сдается двухкомнатная квартира, 44 кв.м, в одном из лучших районов Москвы, с очень развитой инфраструктурой. Капитальный евроремонт 2023 года. Скоро в пяти минутах ходьбы запланировано открытие новой станции метро, Троицкой линии. Ближайшая станция метро Новаторская. Вся мебель, техника -2023/24 г. Кухня совмещена с гостиной, большой диван-кровать. Спальня-14 кв.м. Отдельная вместительная гардеробная комната. Совмещенный санузел. Вентиляция по всей квартире. Кондиционер. Квартира рассчитана на 1-2 жильцов. Подъезд и придомовая территория под круглосуточным видеонаблюдением, охрана. Тамбур на две квартиры. Окна выходят на улицу Гарибальди. Квартира очень тёплая и светлая. Тихий, ухоженный двор. Интеллигентные соседи. Квартира свободна после 1-го июня. Просьба риэлторам не беспокоить!, 24 фото",Дизайнерский,,,На улицу,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,2.8,Пасс (1),Да,https://www.cian.ru/rent/flat/285564364
279394637,"2, Изолированная",Квартира,м. Университет (9 мин пешком),"Москва, улица Строителей, 11К2",59.0/9.0,"3/8, Кирпичный",наземная,"70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79153046552,"Сдается удобная светлая и комфортная двухкомнатная квартира с высокими потолками в тихом месте в кирпичном доме, всюду вокруг дома тихий и зелёный двор. Большая гостиная. Комнаты изолированные, с евроремонтом. Полностью меблирована. Двухспальная кровать. ДВА просторных застекленных балкона. Достаточное количество шкафов. Встроенный кухонный гарнитур. Вся дорогая импортная бытовая техника. Санузел совмещенный. Рассматривают клиентов: пару без детей и животных, некурящих, парковки нет. ПОКАЗЫ и ЗАСЕЛЕНИЕ С 27го МАЯ 2025г.!!!, 15 фото",Евроремонт,,Лоджия (2),Во двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет, Телефон",,,,Пасс (1),Да,https://www.cian.ru/rent/flat/279394637
317698685,2,Квартира,м. Университет (4 мин пешком),"Москва, проспект Вернадского, 9/10",60.0,5/9,,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79154976259,"ПРЯМОЙ ПРЕДСТАВИТЕЛЬ СОБСТВЕННИКА!
Предлагается в аренду просторная 2-комнатная квартира в кирпичном доме по адресу: пр-кт Вернадского, д. 9/10, ЮЗАО, р-н Гагаринский.
Функциональная планировка квартиры: кухня, 2 изолированные комнаты, 1 совмещенный с/у с душевой кабиной, прихожая. Квартира полностью меблирована и оснащена всей необходимой техникой для комфортного проживания. В квартире много шкафов. Современный ремонт. Есть застекленный балкон. Окна выходят во двор. 
Хороший, чистый подъезд. Есть стихийный паркинг во дворе. Развитая инфраструктура района: магазины, рестораны, медицинские учреждения, детские сады и школы, аптеки, отделения банков, салоны красоты, фитнес-центры. Экологически чистый район в окружении парков. Удобная транспортная развязка. В пешей доступности ст.м. Университет., 13 фото",Евроремонт,,Балкон (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Холодильник, Интернет",,,,Пасс (1),,https://www.cian.ru/rent/flat/317698685
306327367,2,Квартира,м. Крымская (10 мин пешком),"Москва, Большая Черемушкинская улица, 11К1",42.0/28.0/6.0,"7/9, Кирпичный",наземная,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес","+79856337620, +79853826921","Сдается двухкомнатная квартира, после евроремонта, все новое, никто не жил. Кухня гарнитур, бытовая техника. Кондиционер. Комнаты изолированные. Окна ПВХ. Балкон остеклен. Сан. узел раздельный. Дом расположен в тихом, зеленом дворе, в стороне от шумных дорог. Развитая инфраструктура района. Рядом Мцк Крымская. У собственника есть пожелания по клиентам! Оперативный показ., 12 фото",Евроремонт,,Балкон (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,2.6,Пасс (1),Да,https://www.cian.ru/rent/flat/306327367
306133670,"2, Изолированная",Квартира,м. Ленинский проспект (11 мин пешком),"Москва, Ленинский проспект, 43",51.0/36.0/7.0,"8/10, Кирпичный",наземная,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79315540971,"Заселение с 17.06. Смотреть и договариваться можно сейчас! В 10 минутах ПЕШКОМ от метро Ленинский проспект в долгосрочную аренду сдается 2-комнатная полнометражная квартира. Комнаты ИЗОЛИРОВАННЫЕ. Квартира с хорошим ремонтом и необходимой техникой, включая КОНДИЦИОНЕРЫ в обеих комнатах, холодильник, стир.машину. В одной комнате 2-спальный диван и шкафы. Во второй комнате 2-спальная кровать (фото позже), книжный шкаф (книги остаются, читать можно и нужно, убирать нет). В прихожей большой шкаф-купе. В комнатах на полу паркет, в коридоре, кухне и ванной плитка. Окна стеклопакеты. Есть не застекленный БАЛКОН. Без животных. Заселение с 17.06.  Звоните или пишите., 9 фото",Косметический,,Балкон (1),На улицу,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Холодильник, Интернет",,,2.7,Пасс (1),Да,https://www.cian.ru/rent/flat/306133670
317323013,"3, Оба варианта",Квартира,м. Крымская (10 мин пешком),"Москва, Большая Черемушкинская улица, 4",55.0/30.0/13.0,4/5,наземная,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79810218675,"Трехкомнатная квартира в теплом кирпичном доме.
Кухня-гостиная + 2 комнаты (смежно-изолированные). С/у совмещен.
Балкон застеклен.

В квартире только что закончен ремонт. После ремонта никто не проживал.
В квартире чисто и уютно.
Сдается на длительный срок семье без детей возрастом до 5 лет, без животных (любых), строго не курящим!, 40 фото",Евроремонт,,Балкон (1),На улицу,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,,,,https://www.cian.ru/rent/flat/317323013
306126193,3,Квартира,м. Нагорная (16 мин пешком),"Москва, Нагорный бульвар, 6",60.0/40.0/8.0,"2/5, Кирпичный",наземная,"82000.0 руб./ За месяц, Залог - 82000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79164429683,"Анатолий. Квартира после качественного евроремонта. Индивидуальная планировка. встроенный кухонный гарнитур, вся встраиваемая бытовая техника. полы ламинат, плитка. Три комнаты: Спальня, кабинет, гостиная. Кухня. Кондиционеры в каждой комнате, полноразмерные стиральная и посудомоечная машины, сигнализация, сейф, потолки 3 метра. Теплые полы в прихожей, в ванной комнате и на кухне. Фильтр магистральный на всю воду + фильтры под мойкой для питьевой воды., 14 фото",Дизайнерский,,Балкон (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет, Телефон",,,2.48,,,https://www.cian.ru/rent/flat/306126193
